pattern,canonical_target
https://compassgrill.co.il/gifts/מארז-פריסת-חלה-לשבת-קרש-סיסם-סכין-לחם-berox/?category_id=128869,https://compassgrill.co.il/gifts/מארז-פריסת-חלה-לשבת-קרש-סיסם-סכין-לחם-berox/
https://compassgrill.co.il/gifts/מתנה-ממותגת-ליום-הולדת-בוצ-ר-אלון-סכין-שף-dick/?category_id=128869,https://compassgrill.co.il/gifts/מתנה-ממותגת-ליום-הולדת-בוצ-ר-אלון-סכין-שף-dick/
https://compassgrill.co.il/knives-and-accessories/giesser-knives/tradition-butcher-slicer-knife-24-30cm/?category_id=104927,https://compassgrill.co.il/knives-and-accessories/giesser-knives/tradition-butcher-slicer-knife-24-30cm/
https://compassgrill.co.il/grill-smoker-accessories/butcher-board/קרש-חיתוך-מעץ-סיסם-אירופאי-40-25-עם-תעלת-ניקוז/?category_id=128801,https://compassgrill.co.il/grill-smoker-accessories/butcher-board/קרש-חיתוך-מעץ-סיסם-אירופאי-40-25-עם-תעלת-ניקוז/
https://compassgrill.co.il/gifts/מארז-מתנה-לגבר-בוצ-ר-עץ-אלון-סכין-שף-dick/?category_id=128869,https://compassgrill.co.il/gifts/מארז-מתנה-לגבר-בוצ-ר-עץ-אלון-סכין-שף-dick/
https://compassgrill.co.il/gifts/מארז-לשף-שלנו-באהבה-קרש-עץ-סכין-שף-berox/?category_id=128869,https://compassgrill.co.il/gifts/מארז-לשף-שלנו-באהבה-קרש-עץ-סכין-שף-berox/
https://compassgrill.co.il/grill-smoker-accessories/plates-for-serving/פרוסת-סיסם-אירופאי-100-קרש-הגשה-טבעי-מעץ-מלא/?category_id=128868,https://compassgrill.co.il/grill-smoker-accessories/plates-for-serving/פרוסת-סיסם-אירופאי-100-קרש-הגשה-טבעי-מעץ-מלא/
https://compassgrill.co.il/טחונים-קפואים/angus-burger-220g-4-pcs-tray-chef-recipe-1/?category_id=125609,https://compassgrill.co.il/טחונים-קפואים/angus-burger-220g-4-pcs-tray-chef-recipe/
https://compassgrill.co.il/fresh-beef/angus-feedlot-ribs-no-2-3kg/?category_id=66835,https://compassgrill.co.il/fresh-beef/angus-feedlot-ribs-no-2-3kg/
https://compassgrill.co.il/eitan-meat-eilat/frozen-ground-meat/veal-lamb-kebab-140g-6-pcs-pack/?category_id=66897,https://compassgrill.co.il/eitan-meat-eilat/frozen-ground-meat/veal-lamb-kebab-140g-6-pcs-pack/
